date,mealType,name,calories,servingSize,totalFat,saturatedFat,protein,sodium,potassium,cholesterolMg,totalCarbs,fiber,sugar
'2024-02-14','Breakfast','sausage', 321.9, 100.0, 26.9, 8.8, 18.4, 815.0, 146.0, 87.0, 1.4, 0.0, 1.0
'2024-02-14','Breakfast','eggs', 144.3, 100.0, 9.4, 3.1, 12.6, 143.0, 200.0, 373.0, 0.7, 0.0, 0.0
'2024-02-14','Breakfast','toast', 298.3, 100.0, 4.0, 0.8, 9.1, 541.0, 102.0, 1.0, 54.2, 2.9, 6.0
'2024-02-14','Lunch','chicken', 445.3, 200.0, 25.8, 7.3, 47.5, 144.0, 358.0, 184.0, 0.1, 0.0, 0.0
'2024-02-14','Lunch','fries', 476.6, 150.0, 22.2, 3.5, 5.1, 319.0, 187.0, 0.0, 61.7, 5.7, 0.0
'2024-02-14','Lunch','ketchup', 12.1, 12.0, 0.0, 0.0, 0.1, 106.0, 3.0, 0.0, 3.3, 0.0, 2.0
